Row No,Entity Name,Field Name,Description,API / CSV
370,IPOS,shares_outstanding,Number of shares that were outstanding at the time of IPO,API & CSV
371,IPOS,shares_sold,Number of shares sold at the time of IPO,API & CSV
372,IPOS,short_description,,API & CSV
373,IPOS,stock_exchange_symbol,"Stock exchange where the Organization is listed (e.g. NYSE, NASDAQ)",API & CSV
374,IPOS,stock_full_symbol,,API & CSV
375,IPOS,stock_symbol,"Stock ticker symbol (e.g. AAPL, FB, TWTR)",API & CSV
376,IPOS,updated_at,,API & CSV
377,IPOS,uuid,,API & CSV
378,IPOS,valuation,Valuation of the Organization at IPO,API & CSV
379,IPOS,went_public_on,Date the Organization went public,API & CSV
380,IPO_PREDICTIONS,created_at,Time of Creation,API & CSV
381,IPO_PREDICTIONS,entity_def_id,Entity Def Type,API & CSV
382,IPO_PREDICTIONS,example_funding_round,An example of a similar company in the same industry that had a Funding Round in the last 6 months,API & CSV
383,IPO_PREDICTIONS,example_ipo,An example of a similar company in the same industry that had an IPO in the last 6 months,API & CSV
384,IPO_PREDICTIONS,generated_on,Date on which this IPO Prediction was generated,API & CSV
385,IPO_PREDICTIONS,growth_insight,The Growth Insight linked to this IPO Prediction.,API & CSV
386,IPO_PREDICTIONS,identifier,IPO Prediction Title,API & CSV
387,IPO_PREDICTIONS,key_employee_change,"There has been a change to the executive team's composition (hire, departure, or promotion)",API & CSV
388,IPO_PREDICTIONS,key_leadership_hire,A new C-level Officer (CXO) was hired in the last 12 months,API & CSV
389,IPO_PREDICTIONS,media_sentiment,A sudden increase in media coverage with positive sentiment in the last 12 months,API & CSV
390,IPO_PREDICTIONS,organization,Unique identifier for the organization associated with this IPO prediction,API & CSV
391,IPO_PREDICTIONS,probability_score,The predicted probability that this Organization will IPO,API & CSV
392,IPO_PREDICTIONS,probability_score_timeseries,,API & CSV
393,IPO_PREDICTIONS,probability_tier,The predicted probability of an IPO for this organization is divided into distinct tiers that quantify the likelihood of this event.,API & CSV
394,IPO_PREDICTIONS,unicorn_status,Achieved unicorn status in the last 12 months,API & CSV
395,IPO_PREDICTIONS,updated_at,Time of Update,API & CSV
396,IPO_PREDICTIONS,uuid,UUID,API & CSV
397,JOBS,created_at,,API & CSV
398,JOBS,employee_featured_order,These are the featured employees of an organization,API & CSV
399,JOBS,ended_on,End date of the Person's Job,API & CSV
400,JOBS,entity_def_id,,API & CSV
401,JOBS,identifier,"Position name field (e.g. Steve Jobs, Founder @ Pixar)",API & CSV
402,JOBS,is_current,This indicates whether the Job is current or not,API & CSV
403,JOBS,job_type,Select a job type that best represent your role at the organization,API & CSV
404,JOBS,name,,API & CSV
405,JOBS,organization_identifier,This is the name of the organization,API & CSV
406,JOBS,permalink,,API & CSV
407,JOBS,person_identifier,First and last name of a Person,API & CSV
408,JOBS,short_description,Text of Job Description,API & CSV
409,JOBS,started_on,Start date of the Person's Job,API & CSV
410,JOBS,title,Title of a Person's Job,API & CSV
411,JOBS,updated_at,,API & CSV
412,JOBS,uuid,,API & CSV
413,KEY_EMPLOYEE_CHANGES,created_at,Time of Creation,API & CSV
414,KEY_EMPLOYEE_CHANGES,description,Description of the event,API & CSV
415,KEY_EMPLOYEE_CHANGES,entity_def_id,Entity Def Type,API & CSV
416,KEY_EMPLOYEE_CHANGES,identifier,Key employee change identifier,API & CSV
417,KEY_EMPLOYEE_CHANGES,key_event_date,Date when the news article was posted,API & CSV
418,KEY_EMPLOYEE_CHANGES,organization_identifier,Organization that had a key employee change mentioned,API & CSV
419,KEY_EMPLOYEE_CHANGES,press_reference_link,Title of the news article,API & CSV
420,KEY_EMPLOYEE_CHANGES,sentiment,Sentiment associated with key employee change,API & CSV
421,KEY_EMPLOYEE_CHANGES,updated_at,Time of Update,API & CSV
422,KEY_EMPLOYEE_CHANGES,uuid,UUID,API & CSV
423,LAYOFFS,created_at,Laoyff entity creation date,API & CSV
424,LAYOFFS,entity_def_id,Layoff Signal,API & CSV
425,LAYOFFS,identifier,Layoff identifier,API & CSV
426,LAYOFFS,key_event_date,Date when the news article was posted,API & CSV
427,LAYOFFS,organization_identifier,Organization that had a layoff mentioned,API & CSV
428,LAYOFFS,press_reference_link,Title of the news article,API & CSV
429,LAYOFFS,sentiment,Sentiment of the news article(s) that mention this layoff,API & CSV
430,LAYOFFS,updated_at,Entity Updating date,API & CSV
431,LAYOFFS,uuid,Entity UUID,API & CSV
432,LAYOFF_PREDICTIONS,awards,Awards & Recognition,API & CSV
433,LAYOFF_PREDICTIONS,created_at,,API & CSV
434,LAYOFF_PREDICTIONS,entity_def_id,,API & CSV
435,LAYOFF_PREDICTIONS,example_funding_round,Similar Funding Event,API & CSV
436,LAYOFF_PREDICTIONS,generated_on,,API & CSV
437,LAYOFF_PREDICTIONS,growth_insights,Growth Insights,API & CSV
438,LAYOFF_PREDICTIONS,identifier,Layoff prediction identifier,API & CSV
439,LAYOFF_PREDICTIONS,key_employee_changes,"There has been a change to the executive team's composition (hire, departure, or promotion)",API & CSV
440,LAYOFF_PREDICTIONS,key_leadership_hires,Leadership Hires,API & CSV
441,LAYOFF_PREDICTIONS,layoffs,Layoffs,API & CSV
442,LAYOFF_PREDICTIONS,legal_proceedings,Legal Proceedings,API & CSV
443,LAYOFF_PREDICTIONS,new_offices,New Offices,API & CSV
444,LAYOFF_PREDICTIONS,organization,,API & CSV
445,LAYOFF_PREDICTIONS,partnership_announcements,Partnership Announcements,API & CSV
446,LAYOFF_PREDICTIONS,probability_score,,API & CSV
447,LAYOFF_PREDICTIONS,probability_tier,The predicted probability of this organization experiencing a layoff is divided into distinct tiers that quantify the likelihood of this event.,API & CSV
448,LAYOFF_PREDICTIONS,product_launches,Product Launches,API & CSV
449,LAYOFF_PREDICTIONS,runway_speculation,Runway Speculation,API & CSV
450,LAYOFF_PREDICTIONS,updated_at,,API & CSV
451,LAYOFF_PREDICTIONS,uuid,,API & CSV
452,LEGAL_PROCEEDINGS,created_at,,API & CSV
453,LEGAL_PROCEEDINGS,description,Description of legal proceeding,API & CSV
454,LEGAL_PROCEEDINGS,entity_def_id,"Proceedings relating to law, regulation, or compliance",API & CSV
455,LEGAL_PROCEEDINGS,identifier,Legal proceeding name,API & CSV
456,LEGAL_PROCEEDINGS,key_event_date,Date of proceeding or when expected,API & CSV
457,LEGAL_PROCEEDINGS,name,Legal proceeding name,API & CSV
458,LEGAL_PROCEEDINGS,organization,Organization undergoing legal proceeding,API & CSV
459,LEGAL_PROCEEDINGS,press_reference_link,News article mentioning legal proceeding,API & CSV
460,LEGAL_PROCEEDINGS,proceeding_type,The type of proceeding,API & CSV
461,LEGAL_PROCEEDINGS,sentiment,Sentiment associated with proceeding,API & CSV
462,LEGAL_PROCEEDINGS,updated_at,Date entity was updated,API & CSV
463,LEGAL_PROCEEDINGS,uuid,UUID of legal proceeding entity,API & CSV
464,LOCATIONS,country_code,"Short alphabetic or numeric geographical codes that represent countries (e.g. TWN, USA, ZAF)",API & CSV
465,LOCATIONS,country_code_ext,,API & CSV
466,LOCATIONS,created_at,Created At,API & CSV
467,LOCATIONS,entity_def_id,,API & CSV
468,LOCATIONS,facet_ids,"Type of location (e.g. City, Continent, Regional Area)",API & CSV
469,LOCATIONS,groups,"Regional areas this location belongs to (e.g. San Francisco Bay Area, Silicon Valley)",API & CSV
470,LOCATIONS,identifier,"Short location name (e.g. Japan, San Francisco, Europe)",API & CSV
471,LOCATIONS,location_type,"Type of location (e.g. City, Continent, Regional Area)",API & CSV
472,LOCATIONS,locations,"Full location name (e.g. Denver, Colorado, United States, North America)",API & CSV
473,LOCATIONS,name,,API & CSV
474,LOCATIONS,permalink,,API & CSV
475,LOCATIONS,permalink_aliases,These are the alternative aliases to the primary permalink of the Organization,API & CSV
476,LOCATIONS,region_code,Region code used to define location,API & CSV
477,LOCATIONS,short_description,Description,API & CSV
478,LOCATIONS,updated_at,Updated At,API & CSV
479,LOCATIONS,uuid,,API & CSV
480,MICRO_CATEGORIES,categories,Industries containing this Micro-Industry,API & CSV
481,MICRO_CATEGORIES,created_at,,API & CSV
482,MICRO_CATEGORIES,entity_def_id,,API & CSV
483,MICRO_CATEGORIES,identifier,"Descriptive name for the Micro-Industry (e.g. Agentic AI, Online Bill Payment Services, Secure Document Destruction Services)",API & CSV
484,MICRO_CATEGORIES,name,Descriptive name of the Micro-Industry,API & CSV
485,MICRO_CATEGORIES,updated_at,,API & CSV
486,MICRO_CATEGORIES,uuid,,API & CSV
487,ORG_SIMILARITIES,additional_reasons,,API & CSV
488,ORG_SIMILARITIES,category_overlap,Shared Industries,API & CSV
489,ORG_SIMILARITIES,created_at,Created At,API & CSV
490,ORG_SIMILARITIES,entity_def_id,,API & CSV
491,ORG_SIMILARITIES,identifier,Organization Similarity,API & CSV
492,ORG_SIMILARITIES,location_overlap,,API & CSV
493,ORG_SIMILARITIES,product_similarities,Product Similarities,API & CSV
494,ORG_SIMILARITIES,score,,API & CSV
495,ORG_SIMILARITIES,source,,API & CSV
496,ORG_SIMILARITIES,target,,API & CSV
497,ORG_SIMILARITIES,updated_at,Updated At,API & CSV
498,ORG_SIMILARITIES,uuid,,API & CSV
499,ORGANIZATIONS,acquirer_identifier,Name of the organization that made the acquisition,API & CSV
500,ORGANIZATIONS,aliases,Alternate or previous names for the organization,API & CSV
501,ORGANIZATIONS,categories,"Descriptive keyword for an Organization (e.g. SaaS, Android, Cloud Computing, Medical Device)",API & CSV
502,ORGANIZATIONS,category_groups,"Superset of Industries (e.g. Software, Mobile, Health Care)",API & CSV
503,ORGANIZATIONS,closed_on,The date when the organization is closed,API & CSV
504,ORGANIZATIONS,company_type,Whether an Organization is for profit or non-profit,API & CSV
505,ORGANIZATIONS,contact_email,General contact email for the organization,API & CSV
506,ORGANIZATIONS,created_at,,API & CSV
507,ORGANIZATIONS,delisted_on,The date when the Organization removed its stock from the stock exchange.,API & CSV
508,ORGANIZATIONS,demo_days,Whether an accelerator hosts any demo days,API & CSV
509,ORGANIZATIONS,description,"Organization Description, Industries, Industry Groups",API & CSV
510,ORGANIZATIONS,diversity_spotlights,"Types of diversity represented in an organization, specifically of those who are founding members, currently the CEO, or have check-writing abilities in an investment firm. This feature is in beta and may change with future updates.",API & CSV
511,ORGANIZATIONS,entity_def_id,,API & CSV
512,ORGANIZATIONS,equity_funding_total,Total funding amount raised across all Funding Rounds excluding debt,API & CSV
513,ORGANIZATIONS,exited_on,Date the organization was acquired or went public,API & CSV
514,ORGANIZATIONS,facebook,Link to Organization's Facebook page,API & CSV
515,ORGANIZATIONS,facet_ids,,API & CSV
516,ORGANIZATIONS,founded_on,Date the Organization was founded,API & CSV
517,ORGANIZATIONS,founder_identifiers,Founders of the organization,API & CSV
518,ORGANIZATIONS,funding_stage,"This field describes an organization's most recent funding status (e.g. Early Stage Venture, Late Stage Venture, M&A)",API & CSV
519,ORGANIZATIONS,funding_total,Total amount raised across all funding rounds,API & CSV
520,ORGANIZATIONS,funds_total,Total funding amount raised across all Fund Raises,API & CSV
521,ORGANIZATIONS,growth_insight_confidence,Confidence level associated with this company's growth status,API & CSV
522,ORGANIZATIONS,growth_insight_direction,,API & CSV
523,ORGANIZATIONS,growth_score,Current Growth Score,API & CSV
524,ORGANIZATIONS,growth_score_delta_d90,Change in Growth Score over the past 90 days,API & CSV
525,ORGANIZATIONS,heat_score,Current Heat Score,API & CSV
526,ORGANIZATIONS,heat_score_delta_d90,Change in Heat Score over the past 90 days,API & CSV
527,ORGANIZATIONS,hub_tags,"Tags are labels assigned to organizations, which identify their belonging to a group with that shared label",API & CSV
528,ORGANIZATIONS,identifier,Name of the Organization,API & CSV
529,ORGANIZATIONS,image_id,The profile image of the organization on Crunchbase,API & CSV
530,ORGANIZATIONS,image_url,The url of the profile image,API & CSV
531,ORGANIZATIONS,investor_identifiers,"The top 5 investors with investments in this company, ordered by Crunchbase Rank",API & CSV
532,ORGANIZATIONS,investor_stage,"This describes the stage of investments made by this organization (e.g. Angel, Fund of Funds, Venture Capital)",API & CSV
533,ORGANIZATIONS,investor_type,"This describes the type of investor this organization is (e.g. Angel, Fund of Funds, Venture Capital)",API & CSV
534,ORGANIZATIONS,ipo_status,The current public status of the Organization,API & CSV
535,ORGANIZATIONS,last_equity_funding_total,Amount of most recent Funding Round excluding debt,API & CSV
536,ORGANIZATIONS,last_equity_funding_type,The most recent Funding Round excluding debt,API & CSV
537,ORGANIZATIONS,last_funding_at,Date of most recent Funding Round,API & CSV
538,ORGANIZATIONS,last_funding_total,Amount of most recent Funding Round,API & CSV
539,ORGANIZATIONS,last_funding_type,"Last funding round type (e.g. Seed, Series A, Private Equity)",API & CSV
540,ORGANIZATIONS,last_key_employee_change_date,See companies that have hired executives (VP and above) in a certain date range,API & CSV
541,ORGANIZATIONS,last_layoff_date,Date of last layoff event,API & CSV
542,ORGANIZATIONS,layout_id,This is the auto-generated layout for the profile,API & CSV
543,ORGANIZATIONS,legal_name,The legal name of the organization,API & CSV
544,ORGANIZATIONS,linkedin,Link to Organization's LinkedIn page,API & CSV
545,ORGANIZATIONS,listed_stock_symbol,"Stock ticker symbol (e.g. AAPL, FB, TWTR)",API & CSV
546,ORGANIZATIONS,location_group_identifiers,"Where the organization is headquartered (e.g. San Francisco Bay Area, Silicon Valley)",API & CSV
547,ORGANIZATIONS,location_identifiers,Where the organization is headquartered,API & CSV
548,ORGANIZATIONS,micro_categories,Micro industries associated with this Organization,API & CSV
549,ORGANIZATIONS,name,,API & CSV
550,ORGANIZATIONS,num_acquisitions,Total number of Acquisitions,API & CSV
551,ORGANIZATIONS,num_alumni,Total number of alumni,API & CSV
552,ORGANIZATIONS,num_articles,Number of news articles that reference the Organization,API & CSV
553,ORGANIZATIONS,num_current_advisor_positions,Total number of board member and advisor profiles an organization has on Crunchbase,API & CSV
554,ORGANIZATIONS,num_current_positions,Total number of employee profiles an organization has on Crunchbase,API & CSV
555,ORGANIZATIONS,num_diversity_spotlight_investments,Total number of diversity investments made by an investor,API & CSV
556,ORGANIZATIONS,num_employees_enum,Total number of employees,API & CSV
557,ORGANIZATIONS,num_enrollments,Total number of Enrollments,API & CSV
558,ORGANIZATIONS,num_event_appearances,Total number of events an Organization appeared in,API & CSV
559,ORGANIZATIONS,num_exits,Total number of Exits,API & CSV
560,ORGANIZATIONS,num_exits_ipo,Total number of Exits (IPO),API & CSV
561,ORGANIZATIONS,num_founder_alumni,Total number of Alumni that are Founders,API & CSV
562,ORGANIZATIONS,num_founders,Total number of Founders,API & CSV
563,ORGANIZATIONS,num_funding_rounds,Total number of Funding Rounds,API & CSV
564,ORGANIZATIONS,num_funds,Total number of Funds raised,API & CSV
565,ORGANIZATIONS,num_investments,Total number of Investments made,API & CSV
566,ORGANIZATIONS,num_investors,Total number of investment firms and individual investors,API & CSV
567,ORGANIZATIONS,num_lead_investments,Total number of Lead Investments made,API & CSV
568,ORGANIZATIONS,num_lead_investors,Total number of lead investment firms and individual investors,API & CSV
569,ORGANIZATIONS,num_past_positions,Total number of past employee profiles of an organization,API & CSV
570,ORGANIZATIONS,num_portfolio_organizations,Total number of portfolio organizations,API & CSV
571,ORGANIZATIONS,num_sub_organizations,Total number of sub-organizations that belongs to a parent Organization,API & CSV
572,ORGANIZATIONS,operating_status,"Operating Status of Organization e.g. Active, Closed",API & CSV
573,ORGANIZATIONS,owner_identifier,This is the parent Organization of the sub-organization,API & CSV
574,ORGANIZATIONS,permalink,,API & CSV
575,ORGANIZATIONS,permalink_aliases,These are the alternative aliases to the primary permalink of the Organization,API & CSV
576,ORGANIZATIONS,phone_number,Organization's general phone number,API & CSV
577,ORGANIZATIONS,program_application_deadline,The deadline for applying to the Accelerator Program,API & CSV
578,ORGANIZATIONS,program_duration,The duration of the Acceleration Program in number of weeks,API & CSV
579,ORGANIZATIONS,program_type,"The type of Accelerator Program (e.g. On-Site, Online)",API & CSV
580,ORGANIZATIONS,rank,Algorithmic rank assigned to the top profiles on Crunchbase,API & CSV
581,ORGANIZATIONS,rank_delta_d30,Movement in Rank over the last 30 days using a score from -10 to 10,API & CSV
582,ORGANIZATIONS,rank_delta_d7,Movement in Rank over the last 7 days using a score from -10 to 10,API & CSV
583,ORGANIZATIONS,rank_delta_d90,Movement in Rank over the last 90 days using a score from -10 to 10,API & CSV
584,ORGANIZATIONS,rank_org,"Algorithmic rank assigned to the top 100,000 most active Organizations",API & CSV
585,ORGANIZATIONS,revenue_range,Estimated revenue range for organization,API & CSV
586,ORGANIZATIONS,school_method,"The type of School Method (e.g. On Campus, Online)",API & CSV
587,ORGANIZATIONS,school_program,"The type of School Program (e.g. Bootcamp, Four Year University)",API & CSV
588,ORGANIZATIONS,school_type,The type of school,API & CSV
589,ORGANIZATIONS,short_description,"Text of Organization Description, Industries, and Industry Groups",API & CSV
590,ORGANIZATIONS,status,"Status of Organization e.g. Operating, Closed, Acquired, IPO",API & CSV
591,ORGANIZATIONS,stock_exchange_symbol,"Stock exchange where the Organization is listed e.g. NYSE, NASDAQ",API & CSV
592,ORGANIZATIONS,stock_symbol,"Stock ticker symbol (e.g. AAPL, FB, TWTR)",API & CSV
593,ORGANIZATIONS,twitter,Link to an organization's X page,API & CSV
594,ORGANIZATIONS,updated_at,,API & CSV
595,ORGANIZATIONS,uuid,,API & CSV
596,ORGANIZATIONS,valuation,Latest post money valuation of organization,API & CSV
597,ORGANIZATIONS,valuation_date,Date of latest post money valuation,API & CSV
598,ORGANIZATIONS,website,Link to homepage,API & CSV
599,ORGANIZATIONS,website_url,Link to homepage,API & CSV
600,ORGANIZATIONS,went_public_on,The date when the Organization went public,API & CSV
601,OWNERSHIPS,created_at,,API & CSV
602,OWNERSHIPS,entity_def_id,,API & CSV
603,OWNERSHIPS,facet_ids,,API & CSV
604,OWNERSHIPS,identifier,Short description of the ownership (e.g. Google owns YouTube),API & CSV
605,OWNERSHIPS,name,,API & CSV
606,OWNERSHIPS,ownee_identifier,Name of the sub-organization that is related to a parent organization,API & CSV
607,OWNERSHIPS,owner_identifier,Name of the organization that has sub-organizations,API & CSV
608,OWNERSHIPS,ownership_type,This is the relationship defining how a sub-organization is related to a parent organization,API & CSV
609,OWNERSHIPS,permalink,,API & CSV
610,OWNERSHIPS,rank,Algorithmic rank assigned to the top profiles on Crunchbase,API & CSV
611,OWNERSHIPS,updated_at,,API & CSV
612,OWNERSHIPS,uuid,,API & CSV
613,PARTNERSHIP_ANNOUNCEMENTS,created_at,Time of Creation,API & CSV
614,PARTNERSHIP_ANNOUNCEMENTS,description,Brief context summary,API & CSV
615,PARTNERSHIP_ANNOUNCEMENTS,entity_def_id,Entity Def Type,API & CSV
616,PARTNERSHIP_ANNOUNCEMENTS,identifier,Partnership announcement identifier,API & CSV
617,PARTNERSHIP_ANNOUNCEMENTS,key_event_date,Date when the news article was posted,API & CSV
618,PARTNERSHIP_ANNOUNCEMENTS,organization,Organization that had a partnership announcement mentioned,API & CSV
619,PARTNERSHIP_ANNOUNCEMENTS,press_reference_link,Title of the news article,API & CSV
620,PARTNERSHIP_ANNOUNCEMENTS,sentiment,Sentiment of the news article(s) that mention this partnership announcement,API & CSV
621,PARTNERSHIP_ANNOUNCEMENTS,updated_at,Time of Update,API & CSV
622,PARTNERSHIP_ANNOUNCEMENTS,uuid,UUID,API & CSV
623,PEOPLE,aliases,Alternate or previous names for the individual,API & CSV
624,PEOPLE,born_on,The birthdate of the person,API & CSV
625,PEOPLE,created_at,,API & CSV
626,PEOPLE,description,Text from a Person's biography,API & CSV
627,PEOPLE,died_on,The date when a person died,API & CSV
628,PEOPLE,entity_def_id,,API & CSV
629,PEOPLE,facebook,Link to a Person's Facebook page,API & CSV
630,PEOPLE,facet_ids,,API & CSV
631,PEOPLE,first_name,First name of a Person,API & CSV
632,PEOPLE,gender,A Person's gender,API & CSV
633,PEOPLE,identifier,First and last name of a Person,API & CSV
634,PEOPLE,image_id,The profile image of the person on Crunchbase,API & CSV
635,PEOPLE,image_url,The url of the profile image,API & CSV
636,PEOPLE,investor_stage,"This describes the stage of investor this person is (e.g. Angel, Fund of Funds, Venture Capital)",API & CSV
637,PEOPLE,investor_type,"This describes the type of investor the person is (e.g. Angel, Fund of Funds, Venture Capital)",API & CSV
638,PEOPLE,last_name,Last name of a Person,API & CSV
639,PEOPLE,layout_id,This is the auto-generated layout for the profile,API & CSV
640,PEOPLE,linkedin,Link to a Person's LinkedIn page,API & CSV
641,PEOPLE,location_group_identifiers,"Where the person is located (e.g. San Francisco Bay Area, Silicon Valley)",API & CSV
642,PEOPLE,location_identifiers,"Where the person is located (e.g. Europe, Menlo Park, China)",API & CSV
643,PEOPLE,middle_name,Middle name of a Person,API & CSV
644,PEOPLE,name,Full name of a Person,API & CSV
645,PEOPLE,num_articles,Number of news articles that reference the Person,API & CSV
646,PEOPLE,num_current_advisor_jobs,Total number of current Advisors and Board roles the person has,API & CSV
647,PEOPLE,num_current_jobs,Total number of current Jobs the person has,API & CSV
648,PEOPLE,num_diversity_spotlight_investments,Total number of diversity investments made by an investor,API & CSV
649,PEOPLE,num_event_appearances,Total number of events the individual appeared in,API & CSV
650,PEOPLE,num_exits,Total number of Exits,API & CSV
651,PEOPLE,num_exits_ipo,Total number of Exits (IPO),API & CSV
652,PEOPLE,num_founded_organizations,Number of Organizations that the person founded,API & CSV
653,PEOPLE,num_investments,Number of Investments the Individual has participated in,API & CSV
654,PEOPLE,num_jobs,Total number of Jobs the person has,API & CSV
655,PEOPLE,num_lead_investments,Number of Investments led by the Individual,API & CSV
656,PEOPLE,num_partner_investments,Number of Investments the Individual has partnered in,API & CSV
657,PEOPLE,num_past_advisor_jobs,Total number of past Board and Advisor roles the person has,API & CSV
658,PEOPLE,num_past_jobs,Total number of past Jobs the person has,API & CSV
659,PEOPLE,num_portfolio_organizations,Number of portfolio companies associated to the Person,API & CSV
660,PEOPLE,permalink,,API & CSV
661,PEOPLE,permalink_aliases,These are the alternative aliases to the primary permalink of the Organization,API & CSV
662,PEOPLE,primary_job_title,The person's primary job title,API & CSV
663,PEOPLE,primary_organization,The organization associated to the person's primary job,API & CSV
664,PEOPLE,rank,Algorithmic rank assigned to the top profiles on Crunchbase,API & CSV
665,PEOPLE,rank_delta_d30,Movement in Rank over the last 30 days using a score from -10 to 10,API & CSV
666,PEOPLE,rank_delta_d7,Movement in Rank over the last 7 days using a score from -10 to 10,API & CSV
667,PEOPLE,rank_delta_d90,Movement in Rank over the last 90 days using a score from -10 to 10,API & CSV
668,PEOPLE,rank_person,"Algorithmic rank assigned to the top 100,000 most active People",API & CSV
669,PEOPLE,short_description,"Text of Person Description, Industries, and Industry Groups",API & CSV
670,PEOPLE,twitter,Link to a person's X profile,API & CSV
671,PEOPLE,updated_at,,API & CSV
672,PEOPLE,uuid,,API & CSV
673,PEOPLE,website,Link to a Person's website,API & CSV
674,PEOPLE,website_url,Link to a Person's website,API & CSV
675,PRESS_REFERENCES,activity_entities,Entities mentioned in the press reference,API & CSV
676,PRESS_REFERENCES,author,The author of the press reference,API & CSV
677,PRESS_REFERENCES,created_at,,API & CSV
678,PRESS_REFERENCES,entity_def_id,,API & CSV
679,PRESS_REFERENCES,facet_ids,,API & CSV
680,PRESS_REFERENCES,identifier,Name of the Article,API & CSV
681,PRESS_REFERENCES,posted_on,Date when the press reference is posted,API & CSV
682,PRESS_REFERENCES,publisher,The publisher of the press reference,API & CSV
683,PRESS_REFERENCES,thumbnail_url,,API & CSV
684,PRESS_REFERENCES,title,The title of the press reference,API & CSV
685,PRESS_REFERENCES,updated_at,,API & CSV
686,PRESS_REFERENCES,url,The URL of the press reference,API & CSV
687,PRESS_REFERENCES,uuid,,API & CSV
688,PRINCIPALS,aliases,Alternate or previous names for the organization or individual,API & CSV
689,PRINCIPALS,born_on,The birthdate of the person,API & CSV
690,PRINCIPALS,categories,"Descriptive keyword for an Organization (e.g. SaaS, Android, Cloud Computing, Medical Device)",API & CSV
691,PRINCIPALS,category_groups,"Superset of Industries (e.g. Software, Mobile, Health Care)",API & CSV
692,PRINCIPALS,closed_on,The date when the organization is closed,API & CSV
693,PRINCIPALS,company_type,Whether an Organization is for profit or non-profit,API & CSV
694,PRINCIPALS,contact_email,General contact email for the organization or person,API & CSV
695,PRINCIPALS,created_at,,API & CSV
696,PRINCIPALS,delisted_on,The date when the Organization removed its stock from the stock exchange.,API & CSV
697,PRINCIPALS,description,"Organization or Person Description, Industries, Industry Groups",API & CSV
698,PRINCIPALS,died_on,The date when a person died,API & CSV
699,PRINCIPALS,diversity_spotlights,"Types of diversity represented in an organization, specifically of those who are founding members, currently the CEO, or have check-writing abilities in an investment firm. This feature is in beta and may change with future updates.",API & CSV
700,PRINCIPALS,entity_def_id,,API & CSV
701,PRINCIPALS,equity_funding_total,Total funding amount raised across all Funding Rounds excluding debt,API & CSV
702,PRINCIPALS,exited_on,Date the organization was acquired or went public,API & CSV
703,PRINCIPALS,facebook,Link to organization/person's Facebook page,API & CSV
704,PRINCIPALS,facet_ids,,API & CSV
705,PRINCIPALS,first_name,First name of a Person,API & CSV
706,PRINCIPALS,founded_on,Date the Organization was founded,API & CSV
707,PRINCIPALS,founder_identifiers,Founders of the organization,API & CSV
708,PRINCIPALS,funding_stage,"This field describes an organization's most recent funding status (e.g. Early Stage Venture, Late Stage Venture, M&A)",API & CSV
709,PRINCIPALS,funding_total,Total funding amount raised across all Funding Rounds,API & CSV
710,PRINCIPALS,gender,A Person's gender,API & CSV
711,PRINCIPALS,hub_tags,Tags representing special attributes of organizations that are used in Hubs,API & CSV
712,PRINCIPALS,identifier,Name of the Organization or Person,API & CSV
713,PRINCIPALS,image_id,The profile image of this organization or person on Crunchbase,API & CSV
714,PRINCIPALS,image_url,The url of the profile image,API & CSV
715,PRINCIPALS,investor_identifiers,"The top 5 investors with investments in this company, ordered by Crunchbase Rank",API & CSV
716,PRINCIPALS,investor_stage,"This describes the stage of investor this organization or person is (e.g. Angel, Fund of Funds, Venture Capital)",API & CSV
717,PRINCIPALS,investor_type,"This describes the type of investor this organization or person is (e.g. Angel, Fund of Funds, Venture Capital)",API & CSV
718,PRINCIPALS,ipo_status,The current public status of the Organization,API & CSV
719,PRINCIPALS,last_equity_funding_total,Amount of most recent Funding Round excluding debt,API & CSV
720,PRINCIPALS,last_equity_funding_type,The most recent Funding Round excluding debt,API & CSV
721,PRINCIPALS,last_funding_at,Date of most recent Funding Round,API & CSV
722,PRINCIPALS,last_funding_total,Amount of most recent Funding Round,API & CSV
723,PRINCIPALS,last_funding_type,"Last funding round type (e.g. Series A, Seed, Private Equity)",API & CSV
724,PRINCIPALS,last_name,Last name of a Person,API & CSV
725,PRINCIPALS,layout_id,,API & CSV
726,PRINCIPALS,linkedin,Link to organization/person's LinkedIn page,API & CSV
727,PRINCIPALS,location_group_identifiers,"Where the principal is located (e.g. San Francisco Bay Area, Silicon Valley)",API & CSV
728,PRINCIPALS,location_identifiers,Where the organization is headquartered,API & CSV
729,PRINCIPALS,name,,API & CSV
730,PRINCIPALS,num_alumni,Total number of alumni,API & CSV
731,PRINCIPALS,num_articles,Number of news articles that reference the Organization,API & CSV
732,PRINCIPALS,num_diversity_spotlight_investments,Total number of diversity investments made by an investor,API & CSV
733,PRINCIPALS,num_employees_enum,Total number of Employees,API & CSV
734,PRINCIPALS,num_enrollments,Total number of Enrollments,API & CSV
735,PRINCIPALS,num_event_appearances,Total number of events An Organization or Person appeared in,API & CSV
736,PRINCIPALS,num_exits,Total number of Exits,API & CSV
737,PRINCIPALS,num_exits_ipo,Total number of Exits (IPO),API & CSV
738,PRINCIPALS,num_founded_organizations,Number of Organizations that the Person founded,API & CSV
739,PRINCIPALS,num_founders,Total number of Founders,API & CSV
740,PRINCIPALS,num_funding_rounds,Total number of Funding Rounds,API & CSV
741,PRINCIPALS,num_funds,Total number of Funds raised,API & CSV
